name,Country,Continent
LIMA,Peru,South America
IQUITOS,Peru,South America
MIAMI,United States,North America
BARCELONA,Spain,Europe
BOGOTA,Colombia,South America
PARIS,France,Europe
GUADELOUPE,France (Guadeloupe),North America (Caribbean)
CAYMAN,Cayman Islands,North America (Caribbean)
JEDDAH,Saudi Arabia,Asia
LA,United States,North America
TOKYO,Japan,Asia
BANGKOK,Thailand,Asia
AMSTERDAM,Netherlands,Europe
CASABLANCA,Morocco,Africa
ACCRA,Ghana,Africa
LISBON,Portugal,Europe
NEWARK,United States,North America
HOUSTON,United States,North America
ATLANTA,United States,North America
CHARLOTTE,United States,North America
LAS VEGAS,United States,North America
BILBAO,Spain,Europe
SAN SEBASTIAN,Spain,Europe
SANTIAGO COMPOSTELA,Spain,Europe
SAMUI,Thailand,Asia
PHUKET,Thailand,Asia
MUMBAI,India,Asia
GOA,India,Asia
ATHENS,Greece,Europe
ZURICH,Switzerland,Europe
GENEVA,Switzerland,Europe
BERLIN,Germany,Europe
MADRID,Spain,Europe
DUBAI,United Arab Emirates,Asia
LONDON,United Kingdom,Europe
VALENCIA,Spain,Europe
FRANKFURT,Germany,Europe
ISTANBUL,Türkiye,Asia
AMMAN,Jordan,Asia
DOHA,Qatar,Asia
ABU DHABI,United Arab Emirates,Asia
